Precio_Real_MWh,Precio_Predicho_MWh
77.15,129.21925
70.1,117.92776
68.1,115.604034
68.23,113.19741
71.93,112.1325
71.95,113.11228
78.89,118.93088
88.83,132.27191
99.76000000000002,153.8823
107.0,161.97546
123.22,152.11957
95.06,143.35435
88.7,137.50256
78.78,130.7266
74.09,125.460175
71.48,122.084435
70.89,115.16641
69.82,113.03058
69.25,116.65315
74.01,121.82289
84.44,127.78261
93.29,137.88841
120.22999999999999,148.26326
93.22999999999999,147.61525
82.98,136.86491
72.19,123.531845
70.01,118.259796
66.5,116.08018
65.8,116.58406
64.95,117.316605
66.26,121.2183
77.0,133.3057
90.99999999999999,156.56071
119.47,163.40526
168.35,153.45125
94.54,146.25856
85.0,141.90271
77.52,133.39755
69.0,124.32052
60.43999999999999,123.08343
55.1,117.26656
54.6,112.121025
53.47,113.07975
59.82,116.48977
72.42,120.60774
88.76,130.5611
95.76,139.79224
88.77000000000001,140.2255
62.8,125.186646
55.980000000000004,111.6688
54.44,105.566124
54.0,106.36976
54.44,108.40119
54.6,109.92127
60.43999999999999,112.60364
76.0,125.81667
101.89,149.30376
99.05000000000001,156.17574
94.0,146.17848
83.66,134.92834
82.13,130.78029
71.19,124.6981
62.95,117.27537
60.050000000000004,112.3423
58.0,102.08656
54.690000000000005,97.80494
52.40999999999999,101.98946
55.0,108.74366
61.0,113.317406
80.34,120.38263
90.75,128.52982
83.98,128.16481
61.42,110.08609
54.0,95.11706
54.0,89.48769
55.50000000000001,90.05428
53.3,95.89518
55.90999999999999,98.89891
55.50000000000001,104.00202
70.95,118.30303
80.16,145.49144
83.83,154.36432
83.98,141.19922
76.46,129.87248
68.44,125.87684
55.0,121.18301
56.440000000000005,114.07497
52.71,111.58062
51.18,109.01377
50.83,109.62955
51.16,110.12671
52.57000000000001,110.55529
53.5,110.47013
56.8,112.960205
63.0,117.22784
59.1,114.2979
53.28,98.84782
45.27,88.21796
41.58,81.42372
39.81,78.669754
41.76,77.820755
46.440000000000005,80.98191
53.0,89.79536
64.87,103.447296
81.43,129.48132
87.76,147.09741
95.68,137.27164
92.71,127.62479
86.11000000000001,125.15352
70.79,121.01184
66.62,117.62607
64.78,113.27035
64.91,105.38885
63.92,101.58465
61.75,102.61077
61.75,103.54896
60.0,105.51528
59.8,105.577095
63.92,106.84077
53.0,106.791855
44.7,92.867096
40.0,77.29413
34.28,68.63437
35.65,65.88322
35.0,66.08912
32.0,68.13446
43.349999999999994,72.52653
54.92999999999999,85.905785
77.5,114.64379
89.0,135.00655
129.81,129.59673
119.77,123.94489
82.94,123.627
75.0,120.883316
71.66,115.82714
73.0,115.15191
69.1,111.67756
67.87,112.93699
67.87,116.98206
69.78,122.95794
73.22,128.60898
83.15,138.75912
98.59,152.7392
87.36,152.88988
76.68,138.00401
69.74,129.19247
60.0,121.86929
50.0,118.84875
51.0,116.6748
59.71,118.71594
68.8,125.31768
76.44,140.78792
89.13,157.29556
129.47,160.02821
181.26,154.78607
111.36,150.0326
81.06,145.5645
75.75,137.83345
74.5,129.12973
75.0,124.70679
70.75,117.575035
68.88,114.99667
65.1,116.79526
68.88,119.272385
74.5,122.11378
82.06,129.28055
121.05999999999999,139.35887
96.06,138.16884
79.61,128.99806
72.48,116.7937
71.0,107.420204
56.47,99.12915
51.5,95.057396
56.440000000000005,92.45273
61.33,97.255615
71.0,109.839836
78.77,130.5621
89.01,149.54251
88.87,141.68478
78.28,127.09978
69.03,118.832245
56.09,107.96449
41.7,99.54157
39.0,93.17597
37.45,82.36899
33.21,76.82199
21.01,79.51482
38.0,85.98605
47.28,88.49593
69.99,95.36699
74.49,111.23975
68.61,112.71448
66.04,99.70532
59.20000000000001,86.49584
45.0,78.71578
40.4,73.37891
35.0,69.65694
28.33,67.63702
37.45,72.00391
41.0,81.15377
57.84,100.15313
72.76,114.624504
76.89,114.23295
67.72,109.42687
58.42,102.13915
