value,datetime,datetime_utc,tz_time,geo_id,geo_name
141.95,2022-01-01T13:00:00.000+01:00,2022-01-01T12:00:00Z,2022-01-01T12:00:00.000Z,8745,Melilla
141.95,2022-01-01T13:00:00.000+01:00,2022-01-01T12:00:00Z,2022-01-01T12:00:00.000Z,8744,Ceuta
141.95,2022-01-01T13:00:00.000+01:00,2022-01-01T12:00:00Z,2022-01-01T12:00:00.000Z,8742,Canarias
141.95,2022-01-01T13:00:00.000+01:00,2022-01-01T12:00:00Z,2022-01-01T12:00:00.000Z,8743,Baleares
143.48,2022-01-01T14:00:00.000+01:00,2022-01-01T13:00:00Z,2022-01-01T13:00:00.000Z,8744,Ceuta
143.48,2022-01-01T14:00:00.000+01:00,2022-01-01T13:00:00Z,2022-01-01T13:00:00.000Z,8743,Baleares
143.48,2022-01-01T14:00:00.000+01:00,2022-01-01T13:00:00Z,2022-01-01T13:00:00.000Z,8742,Canarias
143.48,2022-01-01T14:00:00.000+01:00,2022-01-01T13:00:00Z,2022-01-01T13:00:00.000Z,8745,Melilla
143.48,2022-01-01T14:00:00.000+01:00,2022-01-01T13:00:00Z,2022-01-01T13:00:00.000Z,8741,Península
147.69,2022-01-01T15:00:00.000+01:00,2022-01-01T14:00:00Z,2022-01-01T14:00:00.000Z,8745,Melilla
147.69,2022-01-01T15:00:00.000+01:00,2022-01-01T14:00:00Z,2022-01-01T14:00:00.000Z,8742,Canarias
147.69,2022-01-01T15:00:00.000+01:00,2022-01-01T14:00:00Z,2022-01-01T14:00:00.000Z,8743,Baleares
147.69,2022-01-01T15:00:00.000+01:00,2022-01-01T14:00:00Z,2022-01-01T14:00:00.000Z,8741,Península
147.69,2022-01-01T15:00:00.000+01:00,2022-01-01T14:00:00Z,2022-01-01T14:00:00.000Z,8744,Ceuta
172.14,2022-01-01T16:00:00.000+01:00,2022-01-01T15:00:00Z,2022-01-01T15:00:00.000Z,8742,Canarias
172.14,2022-01-01T16:00:00.000+01:00,2022-01-01T15:00:00Z,2022-01-01T15:00:00.000Z,8743,Baleares
172.14,2022-01-01T16:00:00.000+01:00,2022-01-01T15:00:00Z,2022-01-01T15:00:00.000Z,8744,Ceuta
172.14,2022-01-01T16:00:00.000+01:00,2022-01-01T15:00:00Z,2022-01-01T15:00:00.000Z,8745,Melilla
