datetime,Precio_Real,Prediccion_ARMA,Diferencia_ARMA,hour,month
2024-01-02 23:00:00,40.1,93.8047673447748,-53.7047673447748,23,1
2024-01-03 00:00:00,6.8,94.00682806882948,-87.20682806882948,0,1
2024-01-03 01:00:00,3.2,94.20238700436002,-91.00238700436002,1,1
2024-01-03 02:00:00,3.2,94.39165336200945,-91.19165336200945,2,1
2024-01-03 03:00:00,3.2,94.57482962056652,-91.37482962056652,3,1
2024-01-03 04:00:00,3.2,94.75211174357915,-91.55211174357915,4,1
2024-01-03 05:00:00,2.21,94.92368938899808,-92.71368938899809,5,1
2024-01-03 06:00:00,4.78,95.08974611207447,-90.30974611207446,6,1
2024-01-03 07:00:00,45.42,95.25045956172893,-49.83045956172893,7,1
2024-01-03 08:00:00,61.92,95.40600167060192,-33.48600167060192,8,1
2024-01-03 09:00:00,67.0,95.55653883898873,-28.55653883898873,9,1
2024-01-03 10:00:00,63.6,95.70223211285594,-32.10223211285594,10,1
2024-01-03 11:00:00,57.1,95.84323735612983,-38.74323735612983,11,1
2024-01-03 12:00:00,55.0,95.97970541744097,-40.97970541744097,12,1
2024-01-03 13:00:00,55.42,96.11178229150335,-40.691782291503344,13,1
2024-01-03 14:00:00,61.0,96.23960927530081,-35.23960927530081,14,1
2024-01-03 15:00:00,66.03,96.36332311924777,-30.333323119247765,15,1
2024-01-03 16:00:00,67.52,96.483056173486,-28.96305617348601,16,1
2024-01-03 17:00:00,89.57,96.59893652947403,-7.028936529474038,17,1
2024-01-03 18:00:00,94.2,96.71108815702033,-2.5110881570203247,18,1
2024-01-03 19:00:00,104.35,96.81963103690744,7.530368963092556,19,1
2024-01-03 20:00:00,113.26,96.92468128924841,16.335318710751594,20,1
2024-01-03 21:00:00,113.26,97.02635129771308,16.233648702286928,21,1
2024-01-03 22:00:00,94.2,97.12474982975709,-2.92474982975709,22,1
2024-01-03 23:00:00,86.58,97.2199821529823,-10.639982152982299,23,1
