datetime,Precio_Real,Prediccion_SARIMAX,Diferencia_SARIMAX,hour,month
2024-01-07 10:00:00,61.0,37.02416498338729,23.975835016612713,10,1
2024-01-07 11:00:00,55.87,29.914227294338925,25.955772705661072,11,1
2024-01-07 12:00:00,50.6,27.70279704125064,22.89720295874936,12,1
2024-01-07 13:00:00,51.77,23.33078439902081,28.439215600979193,13,1
2024-01-07 14:00:00,49.98,22.908379437100855,27.07162056289914,14,1
2024-01-07 15:00:00,45.57,26.183131506721722,19.38686849327828,15,1
2024-01-07 16:00:00,60.0,43.33697929554764,16.663020704452357,16,1
2024-01-07 17:00:00,92.05,64.47311996331125,27.57688003668875,17,1
2024-01-07 18:00:00,104.85,75.77540845393145,29.074591546068547,18,1
2024-01-07 19:00:00,103.55,89.91718757156026,13.632812428439735,19,1
2024-01-07 20:00:00,100.5,86.57590032003955,13.924099679960449,20,1
2024-01-07 21:00:00,95.89,81.94659656124419,13.943403438755809,21,1
2024-01-07 22:00:00,91.17,68.53194579283719,22.63805420716281,22,1
2024-01-07 23:00:00,83.86,61.653631949561095,22.206368050438904,23,1
2024-01-08 00:00:00,86.97,45.352264891343104,41.617735108656895,0,1
2024-01-08 01:00:00,84.18,36.29153871529989,47.888461284700114,1,1
2024-01-08 02:00:00,81.53,34.75170555684534,46.778294443154664,2,1
2024-01-08 03:00:00,78.79,29.441485745827592,49.348514254172414,3,1
2024-01-08 04:00:00,78.43,25.18393792373231,53.2460620762677,4,1
2024-01-08 05:00:00,82.1,24.319043239572455,57.78095676042754,5,1
2024-01-08 06:00:00,94.3,29.708018120983176,64.59198187901683,6,1
2024-01-08 07:00:00,111.07,34.11334506283747,76.95665493716253,7,1
2024-01-08 08:00:00,120.4,36.51898201958848,83.88101798041153,8,1
2024-01-08 09:00:00,116.98,39.46598536595795,77.51401463404206,9,1
2024-01-08 10:00:00,110.57,37.38992451240832,73.18007548759167,10,1
2024-01-08 11:00:00,103.0,30.259218664885452,72.74078133511455,11,1
2024-01-08 12:00:00,95.46,27.954185922532815,67.50581407746718,12,1
2024-01-08 13:00:00,93.88,23.503278282563915,70.37672171743608,13,1
2024-01-08 14:00:00,100.0,23.462906361735293,76.53709363826471,14,1
2024-01-08 15:00:00,107.98,26.8855544257413,81.0944455742587,15,1
2024-01-08 16:00:00,115.27,43.821717986299824,71.44828201370018,16,1
2024-01-08 17:00:00,125.17,66.69266489337646,58.47733510662354,17,1
