iter	Passed	Remaining
734	42675	73448
735	42731	73386
736	42782	73315
737	42839	73256
738	42895	73194
739	42947	73127
740	42998	73056
741	43051	72989
742	43102	72919
743	43155	72854
744	43214	72797
745	43266	72729
746	43317	72660
747	43369	72591
748	43419	72520
749	43474	72458
750	43528	72393
751	43587	72336
752	43642	72273
753	43697	72211
754	43753	72150
755	43800	72074
756	43858	72015
757	43909	71946
758	43963	71882
759	44018	71818
760	44072	71755
761	44128	71693
762	44180	71627
763	44230	71556
764	44282	71488
765	44335	71422
766	44392	71363
767	44449	71304
768	44505	71243
769	44562	71184
770	44624	71133
771	44678	71069
772	44729	71000
773	44794	70953
774	44841	70878
775	44892	70809
776	44945	70744
777	45010	70696
778	45052	70614
779	45108	70554
780	45160	70487
781	45214	70422
782	45263	70352
783	45313	70281
784	45367	70218
785	45413	70143
786	45469	70081
787	45514	70005
788	45562	69931
789	45611	69860
790	45670	69805
791	45722	69738
792	45799	69709
793	45849	69640
794	45900	69573
795	45951	69503
796	46002	69437
797	46048	69361
798	46100	69295
799	46155	69233
800	46233	69205
801	46340	69221
802	46394	69157
803	46448	69095
804	46502	69031
805	46550	68960
806	46608	68901
807	46665	68842
808	46730	68796
809	46778	68723
810	46844	68678
811	46896	68612
812	46948	68546
813	46998	68477
814	47044	68402
815	47085	68320
816	47134	68249
817	47181	68176
818	47232	68109
819	47283	68041
820	47338	67980
821	47383	67904
822	47437	67842
823	47491	67779
824	47544	67714
825	47598	67652
826	47654	67592
827	47709	67530
828	47759	67461
829	47812	67398
830	47869	67340
831	47928	67284
832	47980	67218
833	48031	67151
834	48092	67098
835	48147	67037
836	48209	66986
837	48263	66923
838	48330	66878
839	48379	66809
840	48434	66748
841	48488	66686
842	48542	66623
843	48596	66561
844	48653	66502
845	48710	66443
846	48766	66384
847	48816	66316
848	48869	66252
849	48920	66186
850	48976	66126
851	49026	66059
852	49082	65999
853	49133	65932
854	49186	65870
855	49238	65804
856	49292	65742
857	49345	65679
858	49399	65617
859	49455	65557
860	49514	65501
861	49570	65442
862	49622	65376
863	49682	65323
864	49745	65272
865	49800	65212
866	49854	65150
867	49912	65093
868	49975	65042
869	50029	64980
870	50083	64918
871	50144	64865
872	50201	64807
873	50254	64744
874	50310	64684
875	50368	64627
876	50422	64565
877	50484	64514
878	50544	64459
879	50597	64396
880	50667	64355
881	50717	64288
882	50780	64237
883	50834	64175
884	50886	64110
885	50940	64048
886	50993	63986
887	51053	63931
888	51122	63888
889	51173	63822
890	51213	63743
891	51269	63684
892	51324	63624
893	51372	63554
894	51431	63498
895	51485	63437
896	51540	63376
897	51594	63315
898	51651	63256
899	51704	63194
900	51750	63122
901	51803	63060
902	51853	62993
903	51898	62921
904	51954	62861
905	52008	62800
906	52065	62742
907	52115	62676
908	52170	62616
909	52223	62553
910	52277	62491
911	52333	62432
912	52423	62414
913	52518	62401
914	52571	62338
915	52628	62280
916	52687	62224
917	52747	62170
918	52802	62110
919	52853	62045
920	52902	61977
921	52953	61913
922	53008	61852
923	53063	61792
924	53115	61729
925	53166	61663
926	53227	61610
927	53288	61557
928	53347	61501
929	53401	61440
930	53452	61375
931	53506	61314
932	53559	61251
933	53615	61193
934	53672	61134
935	53730	61078
936	53783	61015
937	53835	60952
938	53886	60887
939	53945	60831
940	53999	60771
941	54052	60709
942	54104	60645
943	54155	60580
944	54207	60517
945	54258	60453
946	54304	60383
947	54357	60320
948	54404	60252
949	54470	60204
950	54533	60153
951	54588	60093
952	54639	60028
953	54701	59976
954	54756	59917
955	54813	59859
956	54868	59798
957	54922	59737
958	54975	59675
959	55025	59611
960	55072	59542
961	55126	59481
962	55180	59421
963	55238	59363
964	55299	59310
965	55353	59249
966	55404	59185
967	55455	59122
968	55508	59060
969	55566	59003
970	55617	58939
971	55670	58878
972	55723	58816
973	55777	58755
974	55831	58694
975	55888	58637
976	55939	58572
977	55989	58508
978	56035	58439
979	56101	58391
980	56152	58327
981	56203	58263
982	56252	58198
983	56306	58137
984	56357	58074
985	56410	58012
986	56465	57953
987	56523	57896
988	56575	57833
989	56626	57770
990	56685	57714
991	56738	57653
992	56791	57591
993	56850	57536
994	56898	57470
995	56951	57408
996	57002	57345
997	57056	57284
998	57110	57224
999	57162	57162
1000	57218	57104
1001	57272	57044
1002	57327	56984
1003	57382	56925
1004	57436	56864
1005	57489	56804
1006	57535	56735
1007	57590	56676
1008	57642	56614
1009	57697	56554
1010	57751	56494
1011	57807	56436
1012	57855	56370
1013	57905	56306
1014	57959	56246
1015	58010	56183
1016	58060	56119
1017	58117	56062
1018	58170	56001
1019	58216	55933
1020	58270	55873
1021	58336	55824
1022	58388	55762
1023	58443	55703
1024	58490	55636
1025	58541	55574
1026	58664	55579
1027	58732	55533
1028	58787	55473
1029	58835	55408
1030	58884	55343
1031	58937	55282
1032	58990	55221
1033	59042	55159
1034	59096	55099
1035	59148	55038
1036	59205	54980
1037	59260	54921
1038	59311	54858
1039	59370	54803
1040	59422	54741
1041	59473	54679
1042	59523	54615
1043	59576	54555
1044	59632	54496
1045	59681	54432
1046	59730	54367
1047	59786	54310
1048	59843	54252
1049	59894	54190
1050	59949	54131
1051	59992	54061
1052	60045	54000
1053	60090	53933
1054	60142	53872
1055	60204	53819
1056	60257	53758
1057	60309	53697
1058	60374	53647
1059	60425	53585
1060	60480	53526
1061	60537	53469
1062	60591	53409
1063	60641	53346
1064	60695	53286
